date,open,high,low,close,volume,dividends,stock_splits,Capital Gains,daily_return,ticker,RSI,bb_pos,bb_width,volume_change,ma_50,price_percentile_60,price_vs_ma50,price_vs_ma252,c_10d_trend,3d_P,vc_5d_mean,vc_5d_trend,volume_momentum_5d,rsi_50,rsi_5d_trend,overbought,oversold,bb_5d_mean,bb_breakout_up,bb_breakout_down,amplitude,amp_5d_mean,amp_percentile,momentum_5d,volatility_22d,market_uptrend,market_volatility,momentum_10d_percentile
2023-07-03,103.58225066613548,104.2068862915039,103.40657143111036,104.2068862915039,67300,0.0,0.0,0.0,0.0043269884414862,VOX,0.2076591436204977,0.9279747556253911,0.04612237900274577,-0.7440091289463675,98.50125656127929,1.0,0.057924435986002276,,0.002487082686267423,0.008377251934163166,0.4325364189805693,-0.5927913190655612,-0.22016222479721903,0.27061393673179923,0.012814907969491694,0.35,0.0,0.8150229806506151,0,0,0.0077132888444201315,0.010526908669541842,0.2,0.03268106717619279,0.1260439407511117,0.0,0.009301099433542617,0.6033057851239669
2023-07-05,104.0409497546853,105.16334424515826,103.76767265013385,104.78270721435548,352700,0.0,0.0,0.0,0.0055257473219263,VOX,0.20757198753822678,0.9758324107088074,0.04897144787300359,4.240713224368499,98.72652877807617,1.0,0.06134296942509532,,0.003734873292682777,0.018692537085379657,0.9337497475159147,0.9594268463502769,0.49449152542372876,0.27580825446828783,-0.009233388776387581,0.3,0.0,0.8700306146038234,0,0,0.013393276055866576,0.009094775771439889,0.7,0.02228480742039429,0.12217045910427975,0.0,0.009068822377460492,0.7024793388429752
2023-07-06,103.99217809207762,104.08977601635628,103.13329848743902,103.77745819091795,186900,0.0,0.0,0.0,-0.0095936538591339,VOX,0.10654288437995461,0.74902491815443,0.04915044950012176,-0.47008789339381907,98.93442153930664,0.95,0.048951988360160126,,0.0033677235772841224,0.00018823862981687256,0.9542236942608795,0.1710655855110416,0.8523290386521307,0.2518008289014031,-0.01921165052593769,0.25,0.0,0.8532796266230754,0,0,0.00912820019968163,0.008754763661168669,0.25,0.00433254265102509,0.12809147813535995,0.0,0.009241166699214862,0.8264462809917356
2023-07-07,103.67009824033816,104.82177161781271,103.63105758137782,103.77745819091795,127300,0.0,0.0,0.0,0.0,VOX,-0.025902786023784614,0.7280117506134172,0.04669766416463044,-0.31888710540395937,99.17132308959961,0.9416666666666667,0.04644624028215061,,0.0031577762623572767,-0.004120918644327287,0.9057089094536257,-0.44224847903497544,0.36587982832618016,0.29844321082030717,-0.057464721721458424,0.25,0.0,0.8532035066335079,0,0,0.01147372519227015,0.009783964492281295,0.65,0.00898875350873969,0.1281669059603751,0.0,0.0087268161758225,0.7024793388429752
2023-07-10,103.79696792863764,104.25568633326098,103.03569374489842,103.61153411865234,73500,0.0,0.0,0.0,-0.0015988450204703,VOX,0.02781547733295426,0.6743343648662727,0.04381335549672928,-0.42262372348782407,99.42223358154297,0.9,0.04213645566183577,,0.0024657860119187557,-0.011177160113903684,0.4570210746273056,-0.8570347706721162,-0.7204260174971472,0.3232836343895164,-0.05369259134499255,0.25,0.0,0.8110356399936636,0,0,0.01175585343512803,0.010692868745473304,0.65,-0.0013397631161917109,0.12744702978995417,0.0,0.008316498348373709,0.5371900826446281
2023-07-11,103.689609660489,105.43663996880043,103.59201174109188,105.35855865478516,109900,0.0,0.0,0.0,0.0168612939765198,VOX,0.2558882093968711,0.9969599938249896,0.04504674053744724,0.49523809523809526,99.61638595581054,1.0,0.05764285306959249,,0.0019257167031298643,0.015235490360136605,0.7048705194641982,-1.056007576258533,0.6329866270430906,0.26294333444436246,0.0016067217632989728,0.25,0.0,0.8248326876335834,0,0,0.017803309673961105,0.0127108729113815,0.9,0.011194542418841887,0.13466967162387022,0.0,0.00811858254372165,0.6859504132231405
2023-07-12,106.21742282436396,107.00797553703796,106.0027029650592,106.76397705078124,246000,0.0,0.0,0.0,0.0133393851808569,VOX,0.49381087673875895,1.121834146667204,0.054057276370717944,1.2383985441310283,99.82599151611328,1.0,0.06950079262221065,,0.002632431285544978,0.028778107615326398,0.10440758341670398,4.0524815700454315,-0.30252339098383896,0.27590808999923655,0.09015867974790116,0.3,0.0,0.8540330348252627,1,0,0.009541441956059896,0.011940506091420163,0.3,0.019008180277772485,0.13988554444333862,0.0,0.008401306928856564,0.71900826446281
2023-07-13,107.72047552216364,108.53054499628296,107.5057556207425,108.22798919677734,266800,0.0,0.0,0.0,0.0137126040677535,VOX,0.5248914036560188,1.1588696385661033,0.06815136173751142,0.08455284552845521,100.06624038696289,1.0,0.08156346014652316,,0.0041440564427372055,0.044555416705232886,0.21533573120115884,1.1460718366234606,0.42750133761369713,0.3033126359186437,0.1248771595850986,0.3,0.0,0.9360019789075974,1,0,0.009598643698454765,0.01203459479117479,0.3,0.04231443820465989,0.1445610169890518,0.0,0.00854805763774944,0.6033057851239669
2023-07-14,108.09134890491332,108.47198601641844,107.0177568610208,107.17391204833984,1125400,0.0,0.0,0.0,-0.0097394135866369,VOX,0.4380047028072812,0.9384090355447369,0.07395599995464215,3.218140929535233,100.32239883422852,0.9833333333333333,0.0682949500184169,,0.00422943333765943,0.017230241346626762,0.9227413381889973,0.7446121434010335,7.840534171249018,0.33535106477876014,0.0808097383492815,0.3,0.0,0.9780814358938612,0,0,0.01343671970800085,0.012427193694320928,0.8,0.03257502461802299,0.14821798566126035,0.0,0.00836737166058637,0.6528925619834711
2023-07-17,107.16414684704212,107.24222070984138,106.4516679329533,106.72494506835938,1664300,0.0,0.0,0.0,-0.0041891442740091,VOX,0.4890372552404253,0.8435522023131864,0.07800862176754877,0.47885196374622363,100.57697616577148,0.95,0.06112700080040967,,0.004159184405047034,-0.00036559131178948157,1.1030364756358069,0.1765100398242223,21.643537414965987,0.3344199887966522,0.028499921422592667,0.3,0.0,1.011925003383244,0,0,0.00737635457900898,0.01155129392309712,0.15,0.02998472536448419,0.14932907801753395,0.0,0.00824811495089441,0.5785123966942148
